time,cpu%,mem%
20200923-174529,263.7,0.691959107213
20200923-174530,258.7,0.691959107213
20200923-174531,269.9,0.691959107213
20200923-174532,242.7,0.691959107213
20200923-174533,201.8,0.691959107213
20200923-174534,252.7,0.691959107213
20200923-174535,218.9,0.691959107213
20200923-174536,42.9,0.691959107213
20200923-174537,82.9,0.691959107213
20200923-174538,78.9,0.691959107213
20200923-174539,95.8,0.691959107213
20200923-174540,135.9,0.691959107213
20200923-174541,191.7,0.691959107213
20200923-174542,82.9,0.691959107213
20200923-174543,174.8,0.691959107213
20200923-174544,154.8,0.691959107213
20200923-174545,201.9,0.691959107213
20200923-174546,69.9,0.691959107213
20200923-174547,115.9,0.691959107213
20200923-174548,167.9,0.691959107213
20200923-174549,128.8,0.691959107213
20200923-174550,8.0,0.691959107213
20200923-174551,145.9,0.691959107213
20200923-174552,257.8,0.691959107213
20200923-174553,272.7,0.691959107213
20200923-174554,170.8,0.691959107213
20200923-174555,10.0,0.691959107213
20200923-174556,185.7,0.691959107213
20200923-174557,208.8,0.691959107213
20200923-174558,254.9,0.691983840354
20200923-174559,210.7,0.691983840354
20200923-174600,265.6,0.691983840354
20200923-174601,225.7,0.691983840354
20200923-174602,67.9,0.691983840354
20200923-174603,91.9,0.691983840354
20200923-174604,112.9,0.691983840354
20200923-174605,190.8,0.691983840354
20200923-174606,64.9,0.691983840354
20200923-174607,163.8,0.691983840354
20200923-174608,92.0,0.691983840354
20200923-174609,132.8,0.691983840354
20200923-174610,183.8,0.691983840354
20200923-174611,156.9,0.691983840354
20200923-174612,151.8,0.691983840354
20200923-174613,169.7,0.691983840354
20200923-174614,196.7,0.691983840354
20200923-174615,235.8,0.691983840354
20200923-174616,142.8,0.691983840354
20200923-174617,208.7,0.691983840354
20200923-174618,107.8,0.691983840354
20200923-174619,129.8,0.691983840354
20200923-174620,234.7,0.691983840354
20200923-174621,93.9,0.691983840354
20200923-174622,256.6,0.691983840354
20200923-174623,137.8,0.691983840354
20200923-174624,172.8,0.691983840354
20200923-174625,139.0,0.691983840354
20200923-174626,64.9,0.691983840354
20200923-174627,231.7,0.691983840354
20200923-174628,92.9,0.691983840354
