time,cpu%,mem%
20200923-175636,99.9,0.693245230585
20200923-175637,99.0,0.693245230585
20200923-175638,98.9,0.694877617941
20200923-175639,99.9,0.694877617941
20200923-175640,102.0,0.694877617941
20200923-175641,101.9,0.694877617941
20200923-175642,99.9,0.694877617941
20200923-175643,102.0,0.694877617941
20200923-175644,100.9,0.694877617941
20200923-175645,98.9,0.694877617941
20200923-175646,99.9,0.694877617941
20200923-175647,99.9,0.694877617941
20200923-175648,51.0,0.694877617941
20200923-175649,27.0,0.694877617941
20200923-175650,24.0,0.694877617941
20200923-175651,91.9,0.694877617941
20200923-175652,49.9,0.694877617941
20200923-175653,5.0,0.694877617941
20200923-175654,55.0,0.694877617941
20200923-175655,100.9,0.694877617941
20200923-175656,99.9,0.694877617941
20200923-175657,100.9,0.694877617941
20200923-175658,100.9,0.694877617941
20200923-175659,100.9,0.694877617941
20200923-175700,102.0,0.694877617941
20200923-175701,100.0,0.694877617941
20200923-175702,100.9,0.694877617941
20200923-175703,101.0,0.694877617941
20200923-175704,100.9,0.694877617941
20200923-175705,99.9,0.694877617941
20200923-175706,99.9,0.694877617941
20200923-175707,101.0,0.694877617941
20200923-175708,100.9,0.694877617941
20200923-175709,100.9,0.694877617941
20200923-175710,100.9,0.694877617941
20200923-175711,100.9,0.694877617941
20200923-175712,101.9,0.694877617941
20200923-175713,100.9,0.694877617941
20200923-175714,101.9,0.694877617941
20200923-175715,97.9,0.694877617941
20200923-175716,96.9,0.694877617941
20200923-175717,98.0,0.694877617941
20200923-175718,100.9,0.694877617941
20200923-175719,99.9,0.694877617941
20200923-175720,100.9,0.694877617941
20200923-175721,102.0,0.694877617941
20200923-175722,100.9,0.694877617941
20200923-175723,101.0,0.694877617941
20200923-175724,101.9,0.694877617941
20200923-175725,101.9,0.694877617941
20200923-175726,98.9,0.694877617941
20200923-175727,100.9,0.694877617941
20200923-175728,100.9,0.694877617941
20200923-175729,101.9,0.694877617941
20200923-175730,100.9,0.694877617941
20200923-175731,100.8,0.694877617941
20200923-175732,100.9,0.694877617941
20200923-175733,101.9,0.694877617941
20200923-175734,101.9,0.694877617941
20200923-175735,99.9,0.694877617941
20200923-175736,101.0,0.694877617941
20200923-175737,101.9,0.694877617941
20200923-175738,100.9,0.694877617941
20200923-175739,100.9,0.694877617941
20200923-175740,98.9,0.694877617941
20200923-175741,99.9,0.694877617941
20200923-175742,87.0,0.694877617941
20200923-175743,40.9,0.694877617941
20200923-175744,12.0,0.694877617941
20200923-175745,44.9,0.694877617941
20200923-175746,98.9,0.694877617941
20200923-175747,100.9,0.694877617941
20200923-175748,99.9,0.694877617941
20200923-175749,81.9,0.694877617941
20200923-175750,82.9,0.694877617941
20200923-175751,101.9,0.694877617941
20200923-175752,98.9,0.694877617941
20200923-175753,99.9,0.694877617941
20200923-175754,59.9,0.694877617941
20200923-175755,42.0,0.694877617941
20200923-175756,14.0,0.694877617941
20200923-175757,32.0,0.694877617941
20200923-175758,48.0,0.694877617941
20200923-175759,44.9,0.694877617941
20200923-175800,6.0,0.694877617941
20200923-175801,35.9,0.694877617941
20200923-175802,27.0,0.694877617941
20200923-175803,30.0,0.694877617941
20200923-175804,6.0,0.694877617941
20200923-175805,8.0,0.694877617941
20200923-175806,60.9,0.694877617941
20200923-175807,76.9,0.694877617941
20200923-175808,101.9,0.694877617941
20200923-175809,102.0,0.694877617941
20200923-175810,100.9,0.694877617941
20200923-175811,44.9,0.694877617941
20200923-175812,15.0,0.694877617941
20200923-175813,24.0,0.694877617941
20200923-175814,5.0,0.694877617941
20200923-175815,17.0,0.694877617941
20200923-175816,8.0,0.694877617941
20200923-175817,47.9,0.694877617941
20200923-175818,41.9,0.694877617941
20200923-175819,21.0,0.694877617941
20200923-175820,31.0,0.694877617941
20200923-175821,32.0,0.694877617941
20200923-175822,39.9,0.694877617941
20200923-175823,31.0,0.694877617941
20200923-175824,30.0,0.694877617941
20200923-175825,60.9,0.694877617941
20200923-175826,99.9,0.694877617941
20200923-175827,101.0,0.694877617941
20200923-175828,99.9,0.694877617941
20200923-175829,99.9,0.694877617941
20200923-175830,100.9,0.694877617941
20200923-175831,103.0,0.694877617941
20200923-175832,100.9,0.694877617941
20200923-175833,100.9,0.694877617941
20200923-175834,100.9,0.694877617941
20200923-175835,101.0,0.694877617941
20200923-175836,96.9,0.694877617941
20200923-175837,100.9,0.694877617941
20200923-175838,99.9,0.694877617941
20200923-175839,101.0,0.694877617941
20200923-175840,99.9,0.694877617941
20200923-175841,101.9,0.694877617941
20200923-175842,101.9,0.694877617941
20200923-175843,101.0,0.694877617941
20200923-175844,99.9,0.694877617941
20200923-175845,101.9,0.694877617941
20200923-175846,99.9,0.694877617941
20200923-175847,103.0,0.694877617941
20200923-175848,100.9,0.694877617941
20200923-175849,100.9,0.694877617941
20200923-175850,98.9,0.694877617941
20200923-175851,100.0,0.694877617941
20200923-175852,101.9,0.694877617941
20200923-175853,100.9,0.694877617941
20200923-175854,99.9,0.694877617941
20200923-175855,101.9,0.694877617941
20200923-175856,100.9,0.694877617941
20200923-175857,102.9,0.694877617941
20200923-175858,70.9,0.694877617941
20200923-175859,56.0,0.694877617941
20200923-175900,26.0,0.694877617941
20200923-175901,45.0,0.694877617941
20200923-175902,57.9,0.694877617941
20200923-175903,50.0,0.694877617941
20200923-175904,77.9,0.694877617941
20200923-175905,34.0,0.694877617941
20200923-175906,99.9,0.694877617941
20200923-175907,101.9,0.694877617941
20200923-175908,100.9,0.694877617941
20200923-175909,75.9,0.694877617941
20200923-175910,29.0,0.694877617941
20200923-175911,37.9,0.694877617941
20200923-175912,47.9,0.694877617941
